Screaming Circuits SMD component position file.

Centroid Data for pc board: "lax-0.2.brd" as of: 7/30/15 12:24 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.989,0.223,270
C2,Bottom,0.764,0.223,270
C3,Bottom,0.539,0.223,270
C4,Bottom,0.989,0.423,270
C5,Bottom,0.764,0.423,270
C6,Bottom,0.539,0.423,270
C7,Bottom,0.909,0.623,270
C8,Bottom,0.459,0.623,270
C9,Bottom,0.684,0.623,270
C10,Top,0.387,0.976,90
C11,Top,0.457,0.976,90
C12,Top,0.518,0.566,90
C13,Top,0.481,0.663,90
C14,Bottom,0.296,1.008,180
C15,Bottom,0.864,0.942,90
C16,Bottom,1.187,0.575,180
C17,Bottom,1.187,0.528,180
C18,Bottom,0.146,0.836,0
C19,Bottom,0.146,0.792,0
C20,Bottom,0.365,0.413,270
C21,Bottom,0.409,0.413,270
C22,Bottom,1.121,1.117,270
C23,Bottom,1.043,1.117,270
C24,Bottom,0.736,0.925,0
C26,Bottom,1.329,0.961,90
C27,Bottom,1.280,0.961,90
C28,Top,0.081,1.185,90
C29,Top,0.132,1.185,90
C30,Bottom,1.177,0.668,270
C32,Top,0.982,0.269,90
C33,Top,0.983,0.394,270
C34,Top,1.181,0.942,90
C35,Top,1.131,0.942,90
C36,Bottom,0.327,1.178,90
C37,Bottom,0.402,1.178,90
C38,Bottom,0.107,0.571,90
C39,Bottom,0.060,0.571,90
C40,Bottom,0.186,0.197,270
C41,Bottom,0.277,0.422,0
C42,Top,0.706,1.780,0
C43,Top,0.820,1.780,180
C44,Top,0.520,1.800,270
C45,Top,0.580,1.800,270
C46,Bottom,0.080,0.900,270
C47,Bottom,0.140,0.920,270
C48,Bottom,0.808,0.942,90
D1,Top,0.597,0.180,0
D2,Top,0.821,0.182,0
D3,Top,0.827,0.371,180
D4,Top,0.528,0.375,180
D5,Top,0.652,0.585,0
D6,Top,0.866,0.583,0
D7,Top,0.864,0.809,90
D8,Top,0.640,0.799,180
D9,Top,0.731,1.012,0
D10,Top,0.849,1.163,180
IC1,Bottom,0.267,0.328,180
L1,Bottom,0.269,0.468,0
LED1,Top,0.387,1.141,0
LED2,Top,0.387,1.194,0
LED3,Top,0.387,1.245,0
R1,Top,0.282,1.141,0
R2,Top,0.282,1.193,0
R3,Top,0.282,1.245,0
R4,Top,1.291,0.633,270
R5,Top,1.292,0.538,90
R6,Bottom,0.397,0.278,90
R7,Bottom,0.397,0.178,270
R8,Bottom,0.267,0.222,180
R9,Bottom,0.267,0.172,180
R10,Top,0.100,1.720,180
R11,Top,0.100,1.780,180
R12,Top,0.280,2.060,90
R16,Top,0.460,2.060,90
R17,Top,0.100,1.840,180
R18,Top,0.100,1.900,180
R19,Top,0.100,1.960,180
R20,Top,0.220,2.060,90
R21,Top,0.240,1.680,270
R22,Top,0.520,2.060,90
R23,Top,0.180,1.680,270
R24,Top,0.300,1.680,270
R25,Top,0.360,1.680,270
R26,Top,0.420,1.680,270
R27,Top,0.480,1.680,270
R28,Top,0.100,2.020,0
R29,Top,0.840,1.640,180
R30,Top,0.760,2.060,270
R31,Top,0.400,2.060,270
R35,Top,0.340,2.060,270
TP1,Top,0.239,0.044,0
TP2,Top,0.185,0.514,0
TP3,Top,0.185,0.573,0
TP4,Top,0.185,0.629,270
TP5,Top,0.185,0.741,0
TP6,Top,0.185,0.820,0
TP7,Top,0.120,0.042,270
TP8,Top,0.040,0.518,0
TP9,Top,0.040,0.574,0
TP10,Top,0.040,0.630,180
TP11,Top,0.040,0.688,180
TP12,Top,0.040,0.744,90
TP13,Top,0.985,1.183,0
TP14,Top,1.064,1.183,0
TP15,Top,1.143,1.183,0
TP16,Top,1.221,1.182,0
TP17,Top,1.300,1.182,0
TP18,Top,1.380,1.182,0
TP19,Top,0.710,0.042,0
TP20,Top,0.591,0.042,0
TP21,Top,0.829,0.041,180
TP22,Bottom,0.687,0.762,270
TP23,Top,0.357,0.041,270
TP24,Top,0.475,0.043,270
TP25,Top,0.041,0.819,0
TP26,Bottom,0.900,1.220,180
TP27,Bottom,0.742,1.208,180
TP28,Bottom,0.569,1.220,180
TP32,Bottom,1.212,0.226,0
TP33,Bottom,0.120,0.260,0
TP34,Bottom,0.120,0.320,0
TP35,Bottom,0.120,0.080,0
TP37,Bottom,1.180,0.120,0
TP38,Bottom,1.214,0.298,0
TP39,Bottom,1.252,0.332,0
TP40,Bottom,1.074,0.072,0
U1,Top,0.424,0.803,90
U2,Bottom,1.260,0.818,180
U3,Top,0.352,0.626,180
U4,Bottom,1.081,0.568,0
U5,Bottom,0.781,0.816,0
U6,Top,0.109,0.196,270
U7,Bottom,0.203,0.541,0
U8,Bottom,0.290,0.898,270
U9,Bottom,1.020,0.990,0
U10,Top,0.164,1.075,90
U11,Bottom,1.082,0.683,0
U12,Top,1.177,0.224,270
U13,Top,1.047,0.827,90
U14,Top,0.123,0.308,90
U15,Bottom,0.547,1.079,0
U16,Bottom,0.179,0.686,270
U17,Bottom,0.720,1.068,180
U18,Top,1.335,0.586,180
U19,Top,0.125,0.411,270
U20,Top,0.680,1.880,0
U21,Top,0.340,1.880,180
U22,Bottom,0.470,1.474,0
