Qty,Value,Device,Package,Parts,Description,Manufacturer ,Manufacturer part number (MPN),Supplier name,Supplier part number (SPN)
1,,JST_2MM_MALE,JST-2-SMD,J1,JST 2MM MALE RA CONNECTOR,SparkFun ,PRT-08612 ,Mouser,474-PRT-08612 
26,0.1uF,CAP0402-CAP,0402-CAP,"BT:C1, DP:C1, DP:C2, DP:C3, DP:C4, FP:C3, FP:C4, FP:C7, MP:C1, MP:C5, SA:C1, SA:C3, SA:C6, SA:C8, SB:C1, SB:C3, SB:C4, SB:C7, SB:C9, SB:C11, SB:C12, SB:C13, SB:C16, SB:C17, SB:C19, USB:C2",Capacitor,Taiyo Yuden,LMK105BJ104KE-R ,Mouser,963-LMK105BJ104KE-R 
2,0.1uF,CAP0603-CAP,0603-CAP,"PV:C11, RT:C1",Capacitor,KEMET ,C0603C104K5RECTU ,Mouser,80-C0603C104K5REC 
1,1.3M,RESISTOR0402-RES,0402-RES,PV:R3,Resistor,Yageo ,RC0402FR-071M3L ,Mouser,603-RC0402FR-071M3L 
1,100,RESISTOR0402-RES,0402-RES,FP:R2,Resistor,Yageo ,RC0402FR-7D100RL ,Mouser,603-RC0402FR-7D100RL 
7,10k,RESISTOR0402-RES,0402-RES,"CH:R3, FP:R1, MP:R1, MP:R2, MP:R4, RT:R1, RT:R2",Resistor,Yageo ,RC0402FR-0710KL ,Mouser,603-RC0402FR-0710KL 
1,10nF,CAP0402-CAP,0402-CAP,SB:C6,Capacitor,KEMET ,C0402C103K3RACTU ,Mouser,80-C0402C103K3R
1,10nF,CAP0603-CAP,0603-CAP,PV:C12,Capacitor,Murata Electronics ,GCM188R72A103KA37D ,Mouser,81-GCM188R72A103KA7D 
3,10uF,CAP0402-CAP,0402-CAP,"FP:C5, FP:C6, SB:C5",Capacitor,Murata Electronics ,GRM155C80J106ME11D ,Mouser,81-GRM155C80J106ME1D 
2,10uF,CAP0805,805,"RG:C1, RG:C2",Capacitor,Murata Electronics ,GCM21BR71A106KE22K ,Mouser,81-GCM21BR71A106KE2K 
1,10uH,WE-TPC_2813_744029100,WE-TPC_2811/2813_OLD,PV:L2,SMD Shielded Tiny Power Inductor,Wurth Elektronik ,744029100,Mouser,710-744029100 
10,1uF,CAP0402-CAP,0402-CAP,"BT:C2, FP:C1, FP:C2, SA:C2, SA:C4, SA:C7, SA:C9, SB:C2, SB:C8, SB:C18",Capacitor,Murata Electronics ,GRM155R6YA105KE11D ,Mouser,81-GRM155R6YA105KE1D 
1,1uF,CAP0805,805,CH:C1,Capacitor,Murata Electronics ,GJ821BR71H105KA12L ,Mouser,81-GJ821BR71H105KA2L 
1,2.2uH,WE-TPC_2828_744025002,WE-TPC_2828_OLD,RG:L1,SMD Shielded Tiny Power Inductor,Wurth Elektronik ,744025002,Mouser,710-744025002 
1,2.94k,RESISTOR0402-RES,0402-RES,CH:R1,Resistor,Yageo ,RC0402FR-072K94L ,Mouser,603-RC0402FR-072K94L 
1,22nF,CAP0402-CAP,0402-CAP,SB:C15,Capacitor,Murata Electronics ,GCM155R71E223KA55D ,Mouser,81-GCM155R71E223KA5D 
1,22uF,CAP0805,805,PV:C13,Capacitor,Taiyo Yuden ,JMK212BJ226KG-T,Mouser,963-JMK212BJ226KG-T 
1,22uH,WE-TPC_3816_744031220,WE-TPC_3816,PV:L1,SMD Shielded Tiny Power Inductor,Wurth Elektronik ,744031220,Mouser,710-744031220 
5,2M,RESISTOR0402-RES,0402-RES,"RG:R1, RG:R2, RG:R3, RG:R4, RG:R5",Resistor,Yageo ,RC0402FR-072ML ,Mouser,603-RC0402FR-072ML 
2,2k,RESISTOR0402-RES,0402-RES,"CH:R4, CH:R5",Resistor,Yageo ,RC0402FR-072KL ,Mouser,603-RC0402FR-072KL 
2,33pF,CAP0402-CAP,0402-CAP,"MP:C3, MP:C4",Capacitor,Murata Electronics ,GCM1555C1H330FA16J ,Mouser,81-GCM1555C1H330FA6J 
1,4.02M,RESISTOR0402-RES,0402-RES,PV:R1,Resistor,Yageo ,RC0402FR-074M02L ,Mouser, 603-RC0402FR-074M02L
1,4.22M,RESISTOR0402-RES,0402-RES,PV:R7,Resistor,Yageo ,RC0402FR-074M22L ,Mouser,603-RC0402FR-074M22L 
1,4.32k,RESISTOR0402-RES,0402-RES,CH:R2,Resistor,Yageo ,RC0402FR-074K32L ,Mouser,603-RC0402FR-074K32L 
1,4.7k,RESISTOR0402-RES,0402-RES,MP:R3,Resistor,Yageo,RC0402FR-074K7L ,Mouser,603-RC0402FR-074K7L 
5,4.7uF,CAP0402-CAP,0402-CAP,"MP:C2, SA:C5, SB:C10, SB:C14, USB:C1",Capacitor,Murata Electronics ,GRM155R60J475ME87D ,Mouser,81-GRM155R60J475ME8D
4,4.7uF,CAP0805,805,"CH:C2, CH:C3, PV:C9, PV:C10",Capacitor,Murata Electronics ,GRM21BZ7YA475ME15L ,Mouser,81-GRM21BZ7YA475ME5L 
1,5.36M,RESISTOR0402-RES,0402-RES,PV:R4,Resistor,Yageo ,RC0402FR-075K36L ,Mouser,603-RC0402FR-075K36L 
1,56.2k,RESISTOR0402-RES,0402-RES,CH:R6,Resistor,Yageo ,RC0402FR-0756K2L ,Mouser,603-RC0402FR-0756K2L 
1,6.49M,RESISTOR0402-RES,0402-RES,PV:R5,Resistor,Yageo ,RC0402FR-076K49L ,Mouser,603-RC0402FR-076K49L 
1,600R/1A,INDUCTOR0603,603,USB:FB1,Inductors,Wurth Elektronik ,742792651,Mouser,710-742792651 
1,8.87M,RESISTOR0402-RES,0402-RES,PV:R6,Resistor,Vishay / Dale,CRCW04028M87FKED ,Mouser,71-CRCW04028M87FKED 
1,9.09M,RESISTOR0402-RES,0402-RES,PV:R2,Resistor,Yageo ,RC0402FR-079M09L ,Mouser,603-RC0402FR-079M09L 
1,ADXL362,ADXL362,ADXL362,SA:U1,"ADXL362, Micropower, 3-Axis, ¬±2 g/¬±4 g/¬±8 g Digital Output MEMS Accelerometer.",Analog Devices ,ADXL362BCCZ-RL7,Mouser,584-ADXL362BCCZ-R7
1,AT45DB641E-MHN-Y,AT45DB641E-MHN-Y,UDFN,MP:U2,"AT45DB321FLow-Power 32 Mbit, 1.65V - 3.6V SPI Serial DataFlashMemory with 512/528 Byte Page Size",Adesto Technologies ,AT45DB641E-MHN-Y ,Mouser,988-AT45DB641E-MHN-Y 
1,BGX13S22GA-V21R,BGX13S22GA-V21R,BGX13S,BT:U1,Bluetooth Modules (802.15.1) ,Silicon Laboratories ,BGX13S22GA-V21R ,Mouser,634-BGX13S22GA-V21R 
1,BME680LGA,BME680LGA,BME680,SA:U4,Air Quality Sensors Environmental Sensor VOC IIR EMC ,Bosch Sensortec ,BME680 ,Mouser,262-BME680 
1,BMX055,BMX055,BMX055,SA:U2,"BMX055 Small, versatile 9-axis sensor module (accelerometer, gyro, and magnetometer).",Bosch Sensortec ,BMX055,Mouser,262-BMX055 
1,BQ24230VQFN,BQ24230VQFN,PVQFN-N16,CH:U1,bq2423x USB-Friendly Lithium-Ion Battery Charger And Power-Path Management IC,Texas Instruments ,BQ24230RGTR ,Mouser,595-BQ24230RGTR 
1,BQ25570PVQFN,BQ25570PVQFN,BQ25570,PV:U1,Battery Management Low Pwr Harvester Pwr Mgmt IC,Texas Instruments ,BQ25570RGRT ,Mouser,595-BQ25570RGRT 
1,CCS811,CCS811PRODUCTION,LGA10,SA:U3,AMS CCS811 &ndash; I2C Digital Gas Sensor,ams,CCS811B-JOPR5K ,Mouser,985-CCS811B-JOPR5K 
2,CHS-02_SWITCH,CHS-02_SWITCH,CHS-02_SWITCH,"S1, S2",Switch - 2x SPST DIL SMD,Nidec Copal Electronics ,CHS-02TA,Digi-Key,563-1005-1-ND 
1,CM519-SMD,CM519-SMD,CM519,MP:Y1,Crystals 32.768 KHz 12.5pF Tuning Fork ,Citizen FineDevice ,CM51932768DZFT ,Mouser,695-CM51932768DZFT
1,CORTEX_DEBUG_SMD,CORTEX_DEBUG_SMD,SAMTECH_FTSH-105-01,J5,Cortex Debug Connector - 10 pin,Samtec Inc.,FTSH-105-01-LM-DV-K ,Digi-Key,SAM9441-ND 
8,CPX3225A7552D,CPX3225A7552D,CPX3225A752D,"PV:C1, PV:C2, PV:C3, PV:C4, PV:C5, PV:C6, PV:C7, PV:C8",CPX3225A eectric double layer capacitor,Seiko Instruments Micro Energy,CPX3225A752D ,Mouser,628-CPX3225A752D 
1,DF40FC-20DP-0.4V(51),DF40FC-20DP-0.4V(51),DF40C-20DP-0.4V(51),J4,DF40C-20DP-0.4V(51),Hirose Electric Co Ltd,DF40C-20DP-0.4V(51) ,Digi-Key,H11618CT-ND 
1,EVPAYG0BAEVPAYG0BA,EVPAYG0BAEVPAYG0BA,EVPAYG0BA,S3,Switch ,Panasonic ,EVP-AYG0BA ,Mouser,667-EVP-AYG0BA 
1,FXOS8700CQ,FXOS8700CQ,QFN16,SB:U4,"Accelerometer, Magnetometer, 6 Axis Sensor I²C, SPI Output ",NXP USA Inc.,FXOS8700CQR1 ,Digi-Key,FXOS8700CQR1CT-ND 
1,Green,LED0603,LED-0603,CH:D1,LED (Generic),Kingbright ,APT1608LZGCK ,Mouser,604-APT1608LZGCK 
1,HDC1000,HDC1000,HDC1000,SB:U7,"HDC1000 Low Power, High Accuracy Digital Humidity Sensor with Temperature Sensor.",Texas Instruments ,HDC1000YPAR ,Mouser,595-HDC1000YPAR 
1,ICE40UP5K-UWG30,ICE40UP5K-UWG30,LATTICE-WLCSP-30,FP:U2,"FPGA - Field Programmable Gate Array iCE40-UltraPlus, 5280 LUTs, 1.2V ",Lattice ,ICE40UP5K-UWG30ITR1K ,Mouser,842-40UP5KUWG30ITR1K 
1,IQXC-25,IQXC-25,IQXC-25,BT:Y1,Crystals 32.7680kHz 2.0 x 1.2 x 0.6mm ,IQD ,LFXTAL050789Reel ,Mouser,449-LFXTAL050789REEL
4,ISL23415UTQFN,ISL23415UTQFN,ISL23415,"DP:U1, DP:U2, DP:U3, DP:U4",Digital Potentiometer ICs 256 TAP VOLATILE SPI FL RNG INC DCP 21X16 ,Renesas / Intersil ,ISL23415TFRUZ-T7A ,Mouser,968-ISL23415TFRUZT7A 
